,price,bathrooms,bedrooms,description_length,borough_id,interest_level_val,NicholasMuseum_Dist,OrigBrownStoneH_Dist,GlenSpanArch_Dist,HuddlestoneArch_Dist,LaCasaDeLosT_Dist,YelpHighRated3,D1
price,1.0,0.496489531823081,0.5021635724040623,0.13330863736460663,-0.07243320503249039,-0.12876677471751272,0.13414291424307062,0.15264272152257263,0.15212296085318247,0.15212296085318247,0.15264272152257263,0.15218316896545447,0.14504160274345732
bathrooms,0.496489531823081,1.0,0.48149381652531736,0.12174598861633415,0.015634131261683122,-0.05023958924454794,-0.003185896179454147,0.0027077078395225363,0.0024908511949576968,0.0024908511949576968,0.0027077078395225363,0.0026195055875513984,0.00099326554771605
bedrooms,0.5021635724040623,0.48149381652531736,1.0,0.10368890013268253,0.0278386805696178,0.04825400137654545,-0.10396834109410584,-0.10624262463453604,-0.1064050645427212,-0.1064050645427212,-0.10624262463453604,-0.1064796136483576,-0.10531076790581576
description_length,0.13330863736460663,0.12174598861633415,0.10368890013268253,1.0,-0.0714966664995579,0.07070740303028282,0.016479338784931234,0.01265139027672771,0.012859481623061738,0.012859481623061738,0.01265139027672771,0.012760662472453051,0.012755423554231033
borough_id,-0.07243320503249039,0.015634131261683122,0.0278386805696178,-0.0714966664995579,1.0,-0.023969750224579343,-0.30834536097611287,-0.2749096629546364,-0.2751451066229524,-0.2751451066229524,-0.2749096629546364,-0.2747477565136945,-0.26200753874909527
interest_level_val,-0.12876677471751272,-0.05023958924454794,0.04825400137654545,0.07070740303028282,-0.023969750224579343,1.0,0.006371356830622095,0.003128855656149804,0.00330821818747153,0.00330821818747153,0.003128855656149804,0.003385661114684247,0.0041639062436285125
NicholasMuseum_Dist,0.13414291424307062,-0.003185896179454147,-0.10396834109410584,0.016479338784931234,-0.30834536097611287,0.006371356830622095,1.0,0.9083995649935174,0.9091153063590414,0.9091153063590414,0.9083995649935174,0.9086330802391658,0.9201022558643139
OrigBrownStoneH_Dist,0.15264272152257263,0.0027077078395225363,-0.10624262463453604,0.01265139027672771,-0.2749096629546364,0.003128855656149804,0.9083995649935174,1.0,0.9988363799641785,0.9988363799641785,1.0,0.9982415371799452,0.9878713648074052
GlenSpanArch_Dist,0.15212296085318247,0.0024908511949576968,-0.1064050645427212,0.012859481623061738,-0.2751451066229524,0.00330821818747153,0.9091153063590414,0.9988363799641785,1.0,1.0,0.9988363799641784,0.9990989298729955,0.9870916367621971
HuddlestoneArch_Dist,0.15212296085318247,0.0024908511949576968,-0.1064050645427212,0.012859481623061738,-0.2751451066229524,0.00330821818747153,0.9091153063590414,0.9988363799641785,1.0,1.0,0.9988363799641784,0.9990989298729955,0.9870916367621971
LaCasaDeLosT_Dist,0.15264272152257263,0.0027077078395225363,-0.10624262463453604,0.01265139027672771,-0.2749096629546364,0.003128855656149804,0.9083995649935174,1.0,0.9988363799641784,0.9988363799641784,1.0,0.9982415371799452,0.9878713648074052
YelpHighRated3,0.15218316896545447,0.0026195055875513984,-0.1064796136483576,0.012760662472453051,-0.2747477565136945,0.003385661114684247,0.9086330802391658,0.9982415371799452,0.9990989298729955,0.9990989298729955,0.9982415371799452,1.0,0.9874375895065697
D1,0.14504160274345732,0.00099326554771605,-0.10531076790581576,0.012755423554231033,-0.26200753874909527,0.0041639062436285125,0.9201022558643139,0.9878713648074052,0.9870916367621971,0.9870916367621971,0.9878713648074052,0.9874375895065697,1.0
