,price,balcony,swimming_pool,new_construction,terrace,exclusive,loft,garden_patio,wheelchair_access,common_outdoor_space,GoldSachs_Dist,AdeccoGroup_Dist,LiveNation_Dist,Zillow_Dist,BlackStone_Dist,VoyaFinancial_Dist,HorizonMedia_Dist,ErnstYoung_Dist,Protiviti_Dist,Accenture_Dist
price,1.0,0.12778244692111082,0.10636971086723247,0.07346625477431803,0.11651324893927459,0.015356612353196394,-0.05822688483490347,0.08774176089473637,0.06985805149695389,0.03046095248310166,-0.15634830948449305,-0.12638556672180576,-0.14585236600313584,,-0.15349507035032814,-0.1569087506854485,-0.156523923472557,-0.12086200014397837,-0.12625590012118768,-0.15652276375509588
balcony,0.12778244692111082,1.0,0.12177627015828305,0.027357878915718635,0.45425607085800435,-0.032354155100367564,0.033356681926573165,0.30873821812329094,0.0258180126737993,-0.024601116786165885,-0.023975962796241344,-0.08617518056847201,-0.008615482561159826,,-0.023816108304234567,-0.02361331327832051,-0.023861830563487275,-0.08803062435122702,-0.08318647979774721,-0.023861714610857152
swimming_pool,0.10636971086723247,0.12177627015828305,1.0,0.241933213927341,0.09696777394097039,-0.0455793536934475,-0.00627885449734437,0.07280576921028711,0.22064574976538778,-0.009464047995254602,-0.051892670920103454,-0.06668492240270998,0.023508326772605507,,-0.05069225628920914,-0.052688242215921166,-0.0515777565017992,-0.0651392309606661,-0.06769414748750995,-0.05157757913179931
new_construction,0.07346625477431803,0.027357878915718635,0.241933213927341,1.0,0.04923593620256191,-0.03795268798033374,0.010141937529762115,0.04746850610703127,0.27320073629736213,-0.01661189905806043,-0.1071777992947369,-0.09372771530938835,-0.010702850249551171,,-0.10531384099277266,-0.10919920437307007,-0.10699232581121641,-0.08040770689975066,-0.09199581275698199,-0.10699175547309574
terrace,0.11651324893927459,0.45425607085800435,0.09696777394097039,0.04923593620256191,1.0,-0.02987966770571085,0.06972173795014465,0.39280853176295244,0.04173768946192855,-0.02693782307613808,-0.030712741084487242,-0.04700944388131304,-0.006030613839549701,,-0.031143226467223867,-0.03017630785490944,-0.030637939012386844,-0.04504239865369651,-0.044449532248815905,-0.030637671264316556
exclusive,0.015356612353196394,-0.032354155100367564,-0.0455793536934475,-0.03795268798033374,-0.02987966770571085,1.0,-0.02633870008837135,-0.027519437716097283,-0.02817106034697104,0.00833386860684753,0.021202253973854435,0.01590917864902093,-0.0009266670319599932,,0.02144173289932027,0.020955540675325273,0.021044843755045187,0.016250006022033282,0.015405002022421992,0.021045104425469665
loft,-0.05822688483490347,0.033356681926573165,-0.00627885449734437,0.010141937529762115,0.06972173795014465,-0.02633870008837135,1.0,0.07000993925315015,0.026619425403466897,-0.030142129138789938,-0.06763903231904302,-0.02059388363106902,-0.04428060191682754,,-0.06637218835908017,-0.0683571283403191,-0.06733893419078593,-0.020644425694313823,-0.021906901125298774,-0.06733872616846942
garden_patio,0.08774176089473637,0.30873821812329094,0.07280576921028711,0.04746850610703127,0.39280853176295244,-0.027519437716097283,0.07000993925315015,1.0,0.0126881869723249,-0.026690855746037176,-0.014196328307350873,-0.06281453102119347,-0.031003914136028144,,-0.013909720071701296,-0.01395261038251329,-0.014128650301413817,-0.06200132131660389,-0.0630421751691326,-0.014128561800758084
wheelchair_access,0.06985805149695389,0.0258180126737993,0.22064574976538778,0.27320073629736213,0.04173768946192855,-0.02817106034697104,0.026619425403466897,0.0126881869723249,1.0,-0.016675043590973763,-0.126558917379607,-0.00750873870215926,-0.004173764667076266,,-0.1271036038956636,-0.12667574186405373,-0.12585429222970876,-0.004579761837914692,-0.007794172383446324,-0.12585406314466102
common_outdoor_space,0.03046095248310166,-0.024601116786165885,-0.009464047995254602,-0.01661189905806043,-0.02693782307613808,0.00833386860684753,-0.030142129138789938,-0.026690855746037176,-0.016675043590973763,1.0,-0.1762265340016669,0.02097228709708419,-0.015846195727799904,,-0.18103844443359274,-0.17530276673113288,-0.17550211827439063,0.022029167852800177,0.021609286210749108,-0.17550155602904935
